name,x,y,population
"Casablanca",-7.583331,33.5333312,10000000
"Tokyo",139.6917,35.6895,37843000
"Jakarta",106.8650,-6.1751,30539000
"Delhi",77.1025,28.7041,24998000
"Manila",120.9842,14.5995,24123000 
"Seoul",126.9780,37.5665,23480000 
"Shanghai",121.4737,31.2304,23416000 
"Karachi",67.0099,24.8615,22123000 
"Beijing",116.4074,39.9042,21009000 
"New York",-74.0059,40.7128,20630000 
"Guangzhou",113.2644,23.1291,20597000 
"Sao Paulo",-46.6333,-23.5505,20365000 
"Mexico City",-99.1332,19.4326,20063000 
"Mumbai",72.8777,19.0760,17712000 
"Osaka",135.5022,34.6937,17444000 
"Moscow",37.6173,55.7558,19170000 
"Dhaka",90.4125,23.8103,15669000
"Greater Cairo",31.2357,30.0444,15600000 
"Los Angeles",-118.2437,34.0522,15058000 
"Bangkok",100.5018,13.7563,14998000 
"Kolkata",88.3639,22.5726, 14667000 
"Buenos Aires",-58.3816,-34.6037,14122000 
"Tehran",51.3890,35.6892,  13532000 
"Istanbul",28.9784,41.0082,  13287000 
"Lagos",3.3792,6.5244,  13123000 
"Shenzhen",114.0579,22.5431,  12084000 
"Rio de Janeiro",-43.1729,-22.9068,  11727000 
"Kinshasa",15.2663,-4.4419,  11587000 
"Tianjin",117.3616,39.3434,  10920000 
"Paris",2.3522,48.8566,  10858000 
"Lima",-77.0428,-12.0464,  10750000 
"Toronto",-79.4163,43.70011,20000000
"Alaska", -149.040639,61.278649,20000000